Protocol Type,syn_flag_number,syn_count,Srate,Weight,Min,Max,DHCP,psh_flag_number,HTTP,Predicted Attack Category
6.0,0.0,0.0,0.52642864,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,96.15481,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,0.69442385,38.5,80.0,111.4,0.0,1.0,0.0,Normal
17.0,0.0,0.0,17934.287,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.46,0.7149232,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,15870.173,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,22453.234,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.64,23.196405,141.5,56.28,56.7,0.0,0.0,0.0,DDoS-SYN
6.0,0.53,2.0,47.711926,141.5,55.44,56.28,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,25128.498,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
17.0,0.0,0.0,21658.81,141.5,50.0,51.53,0.0,0.0,0.0,DoS-UDP
17.0,0.0,0.0,30227.445,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
6.0,1.0,1.0,6.8459015,38.5,58.0,58.0,0.0,0.0,0.0,Recon-Scan
6.0,0.0,0.0,2.062525,38.5,54.0,54.0,0.0,0.0,0.0,Recon-Scan
7.1,0.8,0.8,20.333626,244.6,54.0,91.2,0.0,0.0,0.0,Recon-Scan
